Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Clothing,0.25,0.09,2,FALSE,Road,775,Kraft Paper Mailer,0.5,0.097,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,95.87,1.43,2.22,52.56,0.772972625,D,0.000468
Clothing,0.2,0.22,2,FALSE,Air,2537,Styrofoam (EPS),0.49,1.395,105,Woven Styrofoam (EPS),Plastic,27,0.52,1.93,3.6,No,73.76,1.73,12.87,0.34,0.107536899,E,0.001092
Furniture,14.47,5.34,10,FALSE,Road,591,Mushroom Pkg (Mycelium),7.79,4.276,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,68.08,82.06,11.55,2.79,8.525713548,A,0.02668
Clothing,0.24,0.1,2,FALSE,Air,1408,Kraft Paper Mailer,0.5,0.845,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.19,1.35,9.02,52.56,0.179600867,E,0.000513
Furniture,13.31,5.7,10,FALSE,Road,2417,Mushroom Pkg (Mycelium),7.32,16.085,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.79,80.31,16.72,2.79,5.763875253,A,0.02852
Clothing,1.09,1.58,5,FALSE,Air,2460,Kraft Paper Mailer,1.63,9.717,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,42.16,9.57,31.03,26.22,0.370093446,D,0.007917
Clothing,1.2,3.15,4,TRUE,Air,2728,Kraft Paper Mailer,2.06,21.483,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,25.71,12.26,39.86,31.48,0.369091812,D,0.015732
Furniture,52.19,316.39,5,FALSE,Road,619,Wood Crate,127.56,97.923,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,25.91,29.35,36.32,13.44,0.96971363,C,1.58193
Electronics,0.16,0.01,6,TRUE,Air,1395,Honeycomb Paper,1.26,0.558,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,88.4,1.39,5.46,15.9,0.30549445,E,2.50E-05
Clothing,0.26,0.19,1,FALSE,Air,2225,Kraft Paper Mailer,0.3,1.446,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,77.03,1.15,12.32,78.9,0.112012978,E,0.000936
Clothing,0.21,0.17,1,FALSE,Air,2076,Kraft Paper Mailer,0.28,1.09,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80.88,0.9,10.26,78.9,0.105263148,E,0.000874
Furniture,12.81,5.78,9,FALSE,Road,1373,Mushroom Pkg (Mycelium),6.92,8.794,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,61.31,73.53,14,3.08,6.302570978,A,0.02891
Electronics,0.2,0.01,6,TRUE,Road,655,Honeycomb Paper,1.28,0.066,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,97.56,1.86,1.15,15.9,1.940867878,B,2.50E-05
Electronics,16.64,8.89,10,TRUE,Road,1600,Mushroom Pkg (Mycelium),8.66,13.312,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,55.66,84.91,16.04,3.37,6.352368681,A,0.04446
Furniture,74.01,259.26,5,FALSE,Road,2620,Wood Crate,104.7,339.631,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.68,29.3,45.26,13.44,0.776844879,D,1.296295
Electronics,0.36,0.02,8,TRUE,Air,915,Mushroom Pkg (Mycelium),1.74,0.823,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,85.61,6.69,5.21,4.15,1.540882622,B,9.00E-05
Electronics,0.14,0,5,TRUE,Road,359,Honeycomb Paper,1.06,0.025,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.72,1.11,0.6,18.57,2.2199963,B,2.00E-05
Electronics,0.11,0,6,TRUE,Road,319,Honeycomb Paper,1.24,0.018,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,99.14,0.76,0.41,15.9,2.224384819,B,0
Electronics,20.25,7.86,9,TRUE,Road,2991,Mushroom Pkg (Mycelium),9.9,30.284,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,44.58,81.32,20.05,3.72,4.867032176,B,0.0393
Clothing,0.21,0.08,1,FALSE,Air,2340,Kraft Paper Mailer,0.28,1.228,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,79.5,0.9,11,78.9,0.098181809,E,0.000418
Clothing,1.19,1.17,5,FALSE,Air,1109,Kraft Paper Mailer,1.48,3.299,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,60.21,7.82,21.35,26.22,0.439531595,D,0.005832
Electronics,24.96,7.14,10,TRUE,Road,1629,Mushroom Pkg (Mycelium),11.98,20.33,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,49.35,92.12,18.33,3.37,6.030768902,A,0.0357
Furniture,73.42,299.26,7,FALSE,Road,1033,Wood Crate,121.1,154.568,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,18.99,41.21,39.71,10.05,1.245328601,C,1.496313
Beauty,0.37,0.04,8,TRUE,Road,791,Mushroom Pkg (Mycelium),1.75,0.146,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,97.61,6.85,0.86,4.15,9.558128421,A,0.00018
Electronics,0.12,0,5,TRUE,Road,50,Honeycomb Paper,1.05,0.003,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,99.25,0.87,0.35,18.57,2.98284862,B,1.60E-05
Electronics,0.2,0,6,TRUE,Air,936,Honeycomb Paper,1.28,0.468,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,89.26,1.86,5.06,15.9,0.441106632,D,1.60E-05
Electronics,0.24,0,9,TRUE,Road,543,Mushroom Pkg (Mycelium),1.9,0.065,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,99.03,4.38,0.35,3.72,15.01709995,A,0
Clothing,0.94,1.34,5,FALSE,Road,530,Kraft Paper Mailer,1.54,0.355,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.37,8.52,6.78,26.22,1.507964379,B,0.006688
Furniture,16.98,4.12,9,FALSE,Road,2179,Mushroom Pkg (Mycelium),8.59,18.5,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,51.48,78.56,17.56,3.08,5.368564615,A,0.020608
Furniture,68.02,319.46,8,FALSE,Road,202,Wood Crate,129.38,32.265,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,38,47.16,30.4,8.92,1.861578886,B,1.59732
Furniture,55.47,303.63,7,FALSE,Road,1388,Recycled PET Box,122.85,210.719,320,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,10.99,37.61,93.76,13.18,0.320904433,E,1.518132
Beauty,0.37,0.04,10,TRUE,Road,435,Mushroom Pkg (Mycelium),2.15,0.08,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,98.49,6.98,0.55,3.37,15.22906322,A,0.000225
Electronics,15.61,6.12,9,TRUE,Road,94,Mushroom Pkg (Mycelium),8.04,0.734,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,76.76,77.15,8.41,3.72,11.00832212,A,0.030624
Clothing,0.23,0.09,2,FALSE,Road,555,Kraft Paper Mailer,0.49,0.064,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,96.51,1.3,1.87,52.56,0.834224153,D,0.000462
Clothing,1.17,4.04,2,TRUE,Air,1502,Kraft Paper Mailer,2.02,15.17,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,33.08,7.78,35.9,52.56,0.260055703,E,0.02021
Clothing,1.75,3.89,2,TRUE,Road,70,Kraft Paper Mailer,1.96,0.136,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.68,7.72,8.76,52.56,1.057534126,C,0.01944
Clothing,1.16,1.36,5,FALSE,Air,2553,Kraft Paper Mailer,1.54,8.68,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,44.18,8.66,29.95,26.22,0.346978286,E,0.006804
Furniture,14.15,30,4,FALSE,Road,2295,Recycled PET Box,12.8,34.425,320,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,37.05,20.07,66.31,21.17,0.242135421,E,0.150024
Clothing,0.91,1.32,5,FALSE,Road,427,Kraft Paper Mailer,1.53,0.282,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.1,8.44,6.38,26.22,1.587460566,B,0.0066
Clothing,0.16,0.09,2,FALSE,Air,1147,Kraft Paper Mailer,0.46,0.459,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.18,0.79,5.8,52.56,0.163448248,E,0.00046
Home Decor,1.97,1.34,10,FALSE,Road,422,Mushroom Pkg (Mycelium),2.79,0.416,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.63,30.77,3.03,2.79,12.18613459,A,0.00672
Electronics,1.62,0.1,9,TRUE,Air,1964,Mushroom Pkg (Mycelium),2.45,7.954,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,48.01,25.82,18.81,3.72,1.647208844,B,0.000486
Home Decor,1.22,1.26,9,FALSE,Air,2387,Mushroom Pkg (Mycelium),2.3,7.519,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,49.34,21.28,18.33,3.08,1.393125947,C,0.0063
Electronics,2.27,0.21,7,TRUE,Road,687,Honeycomb Paper,2.31,0.78,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,80.96,17.99,8.97,13.9,2.406688695,B,0.001064
Clothing,1.2,1.07,4,FALSE,Air,1530,Kraft Paper Mailer,1.28,4.59,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,55.2,7.25,24.03,31.48,0.362047426,E,0.005346
Electronics,0.19,0,6,TRUE,Road,244,Honeycomb Paper,1.28,0.023,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,98.23,1.73,0.83,15.9,2.501201806,B,2.00E-05
Electronics,17.04,8.76,9,TRUE,Road,299,Mushroom Pkg (Mycelium),8.62,2.547,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,70.84,78.56,10.55,3.72,8.93573375,A,0.043815
Clothing,1.62,3.77,3,TRUE,Road,184,Kraft Paper Mailer,2.11,0.347,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.27,10.66,8.98,39.39,1.424498728,C,0.01886
Clothing,1.57,3.38,2,TRUE,Air,1451,Kraft Paper Mailer,1.75,12.261,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,36.76,7.49,33.93,52.56,0.264898312,E,0.01692
Clothing,1.12,3.89,2,TRUE,Air,2140,Kraft Paper Mailer,1.96,20.812,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,26.48,7.72,39.44,52.56,0.234888432,E,0.01944
Clothing,1.09,1.39,3,FALSE,Air,2393,Bubble Wrap (LDPE),1.16,8.316,34,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No,41.11,9.98,58.89,6.34,0.135574798,E,0.00693
Electronics,0.11,0,6,TRUE,Air,2467,Honeycomb Paper,1.24,0.678,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,87.26,0.76,6,15.9,0.151999975,E,2.00E-05
Clothing,1.09,1.32,3,FALSE,Air,2592,Kraft Paper Mailer,1.13,8.554,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,44.61,6.73,29.72,39.39,0.271736195,E,0.0066
Electronics,0.18,0,6,TRUE,Air,1291,Honeycomb Paper,1.27,0.581,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,87.87,1.63,5.71,15.9,0.342556858,E,1.60E-05
Furniture,77.05,317.83,6,FALSE,Road,498,Wood Crate,128.33,79.14,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,27.6,35.31,35.49,11.5,1.193913745,C,1.589164
Beauty,0.85,0.22,5,TRUE,Air,2196,PLA Bioplastic,1.34,4.667,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,53.65,14.77,26.38,33.25,0.671872605,D,0.00112
Clothing,1.57,3.46,4,TRUE,Air,1368,Kraft Paper Mailer,2.18,11.833,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,37.45,12.75,33.56,31.48,0.455899867,D,0.01728
Home Decor,2.53,1.34,9,FALSE,Air,1252,Mushroom Pkg (Mycelium),2.81,7.919,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,47.68,35.41,18.93,3.08,2.244690848,B,0.00672
Clothing,1.56,3.11,3,TRUE,Air,2341,Kraft Paper Mailer,1.84,18.201,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,28.81,10.05,38.19,39.39,0.315789465,E,0.015552
Clothing,0.21,0.08,2,FALSE,Air,2261,Kraft Paper Mailer,0.48,1.187,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,79.9,1.17,10.78,52.56,0.130241175,E,0.000414
Electronics,0.28,0.02,9,TRUE,Air,1786,Mushroom Pkg (Mycelium),1.91,1.25,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,80.93,5.19,6.9,3.72,0.902608565,C,8.40E-05
Furniture,13.39,33.67,6,FALSE,Road,604,Wood Crate,14.67,10.168,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,57.87,32.67,20.65,11.5,1.898498697,B,0.16836
Furniture,59.77,271.62,7,FALSE,Road,1907,Wood Crate,110.05,258.99,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,11.89,41.16,43.2,10.05,1.143333307,C,1.358084
Electronics,0.11,0,6,TRUE,Air,858,Honeycomb Paper,1.24,0.236,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,94.1,0.76,2.78,15.9,0.328057436,E,0
Furniture,12.05,34.67,4,FALSE,Road,2366,Wood Crate,14.67,41.015,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,40.41,22.21,29.21,16.15,0.91242722,C,0.173362
Clothing,0.19,0.09,2,FALSE,Air,1947,Kraft Paper Mailer,0.48,0.925,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,82.87,0.99,9.19,52.56,0.129270933,E,0.000432
Beauty,0.69,0.27,3,TRUE,Air,2070,PLA Bioplastic,0.88,3.571,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,58.7,10.78,23.51,49.94,0.55023392,D,0.001344
Electronics,0.31,0.02,7,TRUE,Air,1768,Honeycomb Paper,1.52,1.37,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,78.01,3.19,10.36,13.9,0.369498034,D,9.80E-05
Electronics,0.14,0.01,6,TRUE,Air,2277,Honeycomb Paper,1.26,0.797,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,85.43,1.13,6.86,15.9,0.19766761,E,2.50E-05
Clothing,1.2,4.28,2,TRUE,Air,1529,Kraft Paper Mailer,2.11,16.36,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,31.47,7.9,36.76,52.56,0.257889003,E,0.02142
Beauty,0.66,0.26,4,TRUE,Air,1175,PLA Bioplastic,1.06,1.939,575,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,66.71,11.45,18.95,39.92,0.725065925,D,0.00128
Clothing,1.02,1.15,3,FALSE,Air,1867,Kraft Paper Mailer,1.06,5.368,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,53.23,6.2,25.09,39.39,0.296532471,E,0.005742
Electronics,15.08,5.79,9,TRUE,Road,2335,Mushroom Pkg (Mycelium),7.83,17.606,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,52.37,76.53,17.23,3.72,5.330005494,A,0.028944
Clothing,0.29,0.18,1,FALSE,Air,1221,Kraft Paper Mailer,0.32,0.885,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,82.18,1.23,9.56,78.9,0.154393289,E,0.000924
Electronics,0.29,0,8,TRUE,Air,1054,Mushroom Pkg (Mycelium),1.72,0.764,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,86.53,5.33,4.87,4.15,1.313346753,C,0
Clothing,0.18,0.18,1,FALSE,Road,93,Kraft Paper Mailer,0.27,0.008,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,97.87,0.73,1.14,78.9,0.768420379,D,0.00092
Clothing,0.95,1.39,4,FALSE,Air,1633,Kraft Paper Mailer,1.36,5.675,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,52.49,7.97,25.49,31.48,0.375205948,D,0.00693
Beauty,0.24,0.03,9,TRUE,Air,1958,Mushroom Pkg (Mycelium),1.9,1.175,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,81.79,4.38,6.59,3.72,0.797571958,D,0.000144
Electronics,1.76,0.11,9,TRUE,Road,631,Mushroom Pkg (Mycelium),2.5,0.555,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,90.76,27.54,3.34,3.72,9.894607816,A,0.00057
Furniture,17.5,5.07,10,FALSE,Road,1853,Mushroom Pkg (Mycelium),9,16.214,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,53.1,85.93,16.97,2.79,6.076369707,A,0.025344
Furniture,19.54,4.61,10,FALSE,Road,2137,Mushroom Pkg (Mycelium),9.82,20.878,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,49.61,87.95,18.23,2.79,5.789357883,A,0.023028
Clothing,0.97,1.61,4,FALSE,Road,68,Kraft Paper Mailer,1.44,0.055,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.32,8.78,5.73,31.48,1.838743135,B,0.008064
Furniture,66.35,252.74,7,FALSE,Road,282,Wood Crate,102.5,35.636,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,37.17,41.12,30.8,10.05,1.60207787,B,1.263675
Electronics,1.75,0.11,7,TRUE,Air,2060,Honeycomb Paper,2.1,9.012,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,43.21,15.15,26.75,13.9,0.679626143,D,0.00054
Furniture,10.46,29.2,4,FALSE,Road,1338,Wood Crate,12.48,19.535,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,50.79,21.98,24.13,16.15,1.093079109,C,0.146025
Furniture,45.17,347.4,7,FALSE,Road,1164,Wood Crate,140.36,202.187,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,15.81,41.28,41.27,10.05,1.200290739,C,1.737024
Clothing,1.09,1.33,4,FALSE,Road,112,Kraft Paper Mailer,1.33,0.074,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.26,7.78,6.3,31.48,1.481904527,B,0.006669
Clothing,0.22,0.11,1,FALSE,Air,2078,Recycled PET Box,0.29,1.143,320,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,79.27,1,21.84,53.11,0.036630035,E,0.00054
Clothing,1.45,3.65,4,TRUE,Air,1199,Kraft Paper Mailer,2.26,10.941,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,39.17,12.99,32.63,31.48,0.477719875,D,0.01824
Clothing,1.05,1.17,4,FALSE,Air,1124,Kraft Paper Mailer,1.27,3.288,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,60.89,7.11,20.98,31.48,0.406673003,D,0.005852
Electronics,1.73,0.11,8,TRUE,Road,494,Mushroom Pkg (Mycelium),2.29,0.427,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,91.92,26.24,2.92,4.15,10.78355795,A,0.000532
Home Decor,2.63,1.34,10,FALSE,Air,2885,Mushroom Pkg (Mycelium),3.05,18.969,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,29.23,37.73,25.61,2.79,1.767903094,B,0.00672
Furniture,54.14,245.09,7,FALSE,Road,2489,Wood Crate,99.44,305.015,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,9.55,41.1,44.34,10.05,1.112313913,C,1.22544
Furniture,47.61,316.48,5,FALSE,Road,2728,Wood Crate,127.59,431.679,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,4.38,29.36,46.88,13.44,0.75153582,D,1.582395
Clothing,1.07,1.14,3,FALSE,Road,618,Kraft Paper Mailer,1.06,0.352,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.51,6.14,7.24,39.39,1.017679417,C,0.0057
Beauty,0.4,0.05,9,TRUE,Air,2139,Mushroom Pkg (Mycelium),1.96,2.139,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,73.04,7.5,9.76,3.72,0.922131053,C,0.00025
Electronics,24.39,8.78,9,TRUE,Road,1315,Mushroom Pkg (Mycelium),11.56,16.036,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,52.29,83.9,17.26,3.72,5.833139871,A,0.043875
Beauty,0.48,0.04,8,TRUE,Road,290,Mushroom Pkg (Mycelium),1.79,0.07,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,98.36,8.87,0.59,4.15,18.04064739,A,0.0002
Furniture,13.54,34.16,5,FALSE,Road,1119,Wood Crate,14.66,19.113,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,50.48,27.54,24.28,13.44,1.361120208,C,0.1708
Home Decor,1.87,1.17,9,FALSE,Air,2730,Mushroom Pkg (Mycelium),2.55,12.763,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,38.02,28.72,22.43,3.08,1.536513529,B,0.00585
Electronics,1.54,0.25,7,TRUE,Air,1151,Honeycomb Paper,2.02,4.431,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,56.04,13.8,20.71,13.9,0.799613675,D,0.00124
Furniture,10.22,38.4,4,FALSE,Road,1335,Wood Crate,16.16,25.632,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,47.2,22.34,25.89,16.15,1.035457666,C,0.192
Electronics,24.36,8.73,9,TRUE,Road,1319,Mushroom Pkg (Mycelium),11.54,16.065,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,52.28,83.94,17.27,3.72,5.832541643,A,0.043665
Clothing,0.9,1.36,4,FALSE,Road,599,Kraft Paper Mailer,1.34,0.407,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.3,7.91,6.81,31.48,1.393832394,C,0.00682
Home Decor,1.32,1.25,9,FALSE,Air,1708,Mushroom Pkg (Mycelium),2.33,5.636,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,55.02,22.03,16.28,3.08,1.623832824,B,0.006272
Electronics,0.32,0.02,6,TRUE,Road,592,Honeycomb Paper,1.33,0.095,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,96.09,3.24,1.84,15.9,2.11304233,B,8.40E-05
Furniture,18.06,5.78,9,FALSE,Road,2089,Mushroom Pkg (Mycelium),9.02,18.864,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,51.1,79.58,17.69,3.08,5.398303821,A,0.028875
Clothing,1.2,1.23,4,FALSE,Air,2434,Kraft Paper Mailer,1.29,7.485,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,46.83,7.39,28.52,31.48,0.310939681,E,0.006156
Furniture,62.58,289.3,6,FALSE,Road,964,Wood Crate,116.92,139.443,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,20.71,35.27,38.87,11.5,1.088860276,C,1.44648
Furniture,14.32,32.94,4,FALSE,Road,2252,Wood Crate,13.98,37.09,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,41.58,22.14,28.64,16.15,0.927653599,C,0.1647
Electronics,0.26,0,7,TRUE,Air,2633,Honeycomb Paper,1.5,1.711,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,75.4,2.61,11.59,13.9,0.270232936,E,0
Electronics,18.46,6.45,9,TRUE,Road,1102,Mushroom Pkg (Mycelium),9.18,10.171,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,58.46,79.93,15.03,3.72,6.381636302,A,0.032256
Beauty,0.67,0.2,4,TRUE,Road,485,Wood Crate,1.07,0.162,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,95.84,5.38,2.04,16.15,3.164704331,B,0.001008
Beauty,0.42,0.04,10,TRUE,Air,1133,Mushroom Pkg (Mycelium),2.17,1.19,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,81.29,7.94,6.77,3.37,1.407385316,C,0.00018
Beauty,0.29,0.05,10,TRUE,Air,2916,Mushroom Pkg (Mycelium),2.12,2.114,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,73.37,5.41,9.64,3.37,0.673443914,D,0.00025
Furniture,10.38,37.18,6,FALSE,Road,53,Wood Crate,16.07,0.985,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,75.27,32.94,12.12,11.5,3.26138587,B,0.1859
Furniture,10.27,36.75,4,FALSE,Road,499,Wood Crate,15.5,9.169,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,60,22.29,19.61,16.15,1.363997891,C,0.183768
Furniture,13.18,36.89,4,FALSE,Road,2588,Mushroom Pkg (Mycelium),15.56,47.736,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,38.58,41.56,22.22,6.28,2.244464345,B,0.18444
Furniture,19.18,4.45,10,FALSE,Road,797,Mushroom Pkg (Mycelium),9.67,7.643,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,61.32,87.67,14,2.79,7.514570892,A,0.022248
Electronics,1.82,0.21,7,TRUE,Air,2217,Honeycomb Paper,2.13,10.087,602,Honeycomb Paper,Paper,380,42,1.95,0.75,Yes,40.96,15.55,27.81,13.9,0.670981637,D,0.001044
Beauty,0.85,0.23,4,TRUE,Air,1243,Wood Crate,1.14,2.641,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,68.51,6.54,15.44,16.15,0.508290123,D,0.001152
Clothing,0.18,0.1,1,FALSE,Air,889,Kraft Paper Mailer,0.27,0.4,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,89.75,0.73,5.5,78.9,0.159272698,E,0.000525
Furniture,11.76,36.23,6,FALSE,Road,740,Wood Crate,15.69,13.405,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,55.2,32.87,21.96,11.5,1.796174782,B,0.18117
