Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Material_ID
Clothing,0.17,0.2,25,20,2,1,False,Air,1364,Kraft Paper Mailer,0.28,0.682,550.0
Electronics,0.36,0.0,15,7,0,6,True,Air,1361,Honeycomb Paper,1.34,1.225,602.0
Electronics,0.33,0.02,14,6,1,6,True,Air,2663,Honeycomb Paper,1.33,2.197,602.0
Clothing,0.15,0.09,23,20,1,2,False,Road,624,Kraft Paper Mailer,0.46,0.047,550.0
Furniture,75.75,274.03,217,82,77,6,False,Road,2853,Wood Crate,110.81,390.904,405.0
Electronics,0.33,0.02,15,7,1,7,True,Air,929,Honeycomb Paper,1.53,0.766,602.0
Electronics,2.48,0.26,31,21,2,9,True,Air,1732,Mushroom Pkg (Mycelium),2.79,10.738,601.0
Furniture,14.77,6.21,97,64,5,10,False,Road,2628,Mushroom Pkg (Mycelium),7.91,19.408,601.0
Clothing,0.88,1.25,27,21,11,3,False,Air,1803,Kraft Paper Mailer,1.1,5.634,550.0
Electronics,2.3,0.24,30,20,2,8,True,Air,1144,Mushroom Pkg (Mycelium),2.52,6.578,601.0
Beauty,0.65,0.27,21,8,8,4,True,Road,600,PLA Bioplastic,1.06,0.195,575.0
Clothing,1.03,1.38,32,18,12,3,False,Road,701,Kraft Paper Mailer,1.15,0.484,550.0
Electronics,1.68,0.11,27,20,1,7,True,Air,1849,Honeycomb Paper,2.07,7.766,602.0
Furniture,14.37,4.95,90,55,5,10,False,Road,2666,Mushroom Pkg (Mycelium),7.75,19.155,601.0
Beauty,0.84,0.26,20,8,8,5,True,Air,1031,PLA Bioplastic,1.34,2.165,575.0
Electronics,1.67,0.25,31,20,2,8,True,Road,544,Mushroom Pkg (Mycelium),2.27,0.454,601.0
Clothing,0.86,1.21,29,19,11,3,False,Air,2954,Kraft Paper Mailer,1.08,8.936,550.0
Electronics,0.19,0.0,5,5,0,5,True,Air,919,Honeycomb Paper,1.08,0.437,602.0
Beauty,0.54,0.19,19,7,7,3,True,Air,2508,PLA Bioplastic,0.82,3.386,575.0
Electronics,0.2,0.0,5,4,0,6,True,Road,167,Honeycomb Paper,1.28,0.017,602.0
Clothing,1.1,4.28,51,42,10,2,True,Road,297,Kraft Paper Mailer,2.11,0.636,550.0
Beauty,0.25,0.04,10,5,4,8,True,Air,1002,Mushroom Pkg (Mycelium),1.7,0.626,601.0
Furniture,14.31,6.59,103,64,5,9,False,Road,2367,Mushroom Pkg (Mycelium),7.52,16.936,601.0
Beauty,0.33,0.04,9,4,5,10,True,Air,1755,Mushroom Pkg (Mycelium),2.13,1.448,601.0
Electronics,2.21,0.22,27,20,2,7,True,Air,1498,Honeycomb Paper,2.28,8.276,602.0
Electronics,2.07,0.12,29,21,1,8,True,Road,636,Mushroom Pkg (Mycelium),2.43,0.658,601.0
Furniture,18.1,5.17,94,55,5,9,False,Road,214,Mushroom Pkg (Mycelium),9.04,1.937,601.0
Furniture,12.8,30.78,57,54,50,4,False,Road,1434,Wood Crate,13.11,22.069,405.0
Clothing,1.19,3.51,45,39,10,2,True,Road,725,Kraft Paper Mailer,1.8,1.272,550.0
Electronics,2.35,0.12,31,19,1,8,True,Road,384,Mushroom Pkg (Mycelium),2.54,0.451,601.0
Clothing,1.21,3.53,49,36,10,4,True,Air,2415,Kraft Paper Mailer,2.21,21.312,550.0
Home Decor,2.11,1.26,15,15,28,9,False,Air,2316,Mushroom Pkg (Mycelium),2.64,12.217,601.0
Electronics,0.25,0.0,15,7,0,8,True,Air,1177,Mushroom Pkg (Mycelium),1.7,0.736,601.0
Beauty,0.72,0.24,21,7,8,3,True,Air,1937,PLA Bioplastic,0.89,3.487,575.0
Furniture,48.72,242.28,187,82,79,8,False,Road,1235,Wood Crate,98.51,149.608,405.0
Home Decor,1.75,1.3,14,15,31,9,False,Road,568,Bubble Wrap (LDPE),2.5,0.497,34.0
Clothing,1.16,3.89,54,40,9,3,True,Air,1970,Kraft Paper Mailer,2.16,19.158,550.0
Electronics,23.13,6.05,108,70,4,10,True,Road,2894,Mushroom Pkg (Mycelium),11.25,33.469,601.0
Clothing,1.18,3.79,54,39,9,4,True,Road,51,Kraft Paper Mailer,2.32,0.097,550.0
Clothing,0.16,0.08,23,18,1,1,False,Road,143,Kraft Paper Mailer,0.26,0.011,550.0
Furniture,13.59,38.1,63,63,48,4,False,Road,2245,Wood Crate,16.04,42.767,405.0
Home Decor,2.7,1.39,16,15,29,9,False,Air,2858,Mushroom Pkg (Mycelium),2.88,19.292,601.0
Beauty,0.73,0.24,21,8,7,5,True,Air,2813,PLA Bioplastic,1.29,5.134,575.0
Clothing,0.22,0.18,24,19,2,2,False,Air,956,Kraft Paper Mailer,0.49,0.526,550.0
Clothing,1.36,4.18,51,41,10,3,True,Air,2778,Kraft Paper Mailer,2.27,29.03,550.0
Beauty,0.3,0.04,10,5,4,10,True,Air,1562,Mushroom Pkg (Mycelium),2.12,1.171,601.0
Beauty,0.75,0.26,20,8,8,5,True,Air,1766,PLA Bioplastic,1.3,3.311,575.0
Clothing,0.29,0.22,26,21,2,1,False,Air,1427,Kraft Paper Mailer,0.32,1.035,550.0
Electronics,0.13,0.0,4,4,1,4,True,Road,663,Corrugated Cardboard,0.85,0.043,114.0
Electronics,0.2,0.0,4,4,0,4,True,Air,962,Corrugated Cardboard,0.88,0.481,114.0
Clothing,0.22,0.22,26,21,2,2,False,Road,771,Kraft Paper Mailer,0.49,0.085,550.0
Beauty,0.43,0.04,10,4,5,8,True,Air,1025,Mushroom Pkg (Mycelium),1.77,1.102,601.0
Clothing,0.16,0.17,22,19,2,1,False,Air,1764,Kraft Paper Mailer,0.27,0.75,550.0
Furniture,10.72,33.64,58,58,50,6,False,Road,1207,Wood Crate,14.66,20.302,405.0
Electronics,0.2,0.0,5,5,0,5,True,Air,2280,Honeycomb Paper,1.08,1.14,602.0
Clothing,0.26,0.19,25,19,2,2,False,Air,1050,Kraft Paper Mailer,0.5,0.683,550.0
Electronics,0.12,0.0,4,4,1,5,True,Road,769,Honeycomb Paper,1.05,0.046,602.0
Clothing,1.39,3.69,45,41,10,2,True,Air,965,Kraft Paper Mailer,1.88,8.902,550.0
Furniture,10.17,35.05,55,59,54,5,False,Road,2895,Wood Crate,15.02,50.735,405.0
Electronics,0.13,0.0,4,5,0,5,True,Road,301,Honeycomb Paper,1.05,0.02,602.0
Electronics,0.26,0.02,16,6,1,9,True,Air,2423,Mushroom Pkg (Mycelium),1.9,1.575,601.0
Beauty,0.33,0.04,10,5,4,10,True,Air,2436,Mushroom Pkg (Mycelium),2.13,2.01,601.0
Electronics,0.11,0.0,5,4,0,6,True,Air,1908,Honeycomb Paper,1.24,0.525,602.0
Furniture,18.01,5.43,97,56,5,10,False,Road,577,Mushroom Pkg (Mycelium),9.2,5.196,601.0
Electronics,1.76,0.24,29,21,2,7,True,Air,1667,Honeycomb Paper,2.1,7.335,602.0
Furniture,11.78,30.18,56,55,49,4,False,Road,472,Wood Crate,12.87,7.122,405.0
Furniture,12.59,4.26,95,56,4,10,False,Road,1513,Mushroom Pkg (Mycelium),7.04,9.524,601.0
Clothing,1.91,4.2,50,42,10,2,True,Road,651,Kraft Paper Mailer,2.08,1.367,550.0
Beauty,0.57,0.26,20,8,8,4,True,Air,2665,PLA Bioplastic,1.03,3.798,575.0
Beauty,0.33,0.04,9,5,4,9,True,Air,1811,Mushroom Pkg (Mycelium),1.93,1.494,601.0
Clothing,1.33,3.0,45,37,9,3,True,Air,1510,Recycled PET Box,1.8,11.325,320.0
Clothing,0.9,1.25,27,21,11,5,False,Air,2713,Kraft Paper Mailer,1.5,8.478,550.0
Home Decor,2.95,1.18,15,14,28,9,False,Air,2614,Mushroom Pkg (Mycelium),2.98,19.278,601.0
Electronics,0.14,0.0,5,5,0,4,True,Air,1949,Corrugated Cardboard,0.86,0.682,114.0
Beauty,0.24,0.04,10,4,5,9,True,Air,2989,Mushroom Pkg (Mycelium),1.9,1.793,601.0
Electronics,0.29,0.0,14,7,0,6,True,Air,1461,Honeycomb Paper,1.32,1.059,602.0
Beauty,0.21,0.04,9,5,5,8,True,Road,570,Mushroom Pkg (Mycelium),1.68,0.06,601.0
Clothing,0.16,0.17,24,18,2,1,False,Road,342,Kraft Paper Mailer,0.27,0.029,550.0
Beauty,0.7,0.18,18,7,7,3,True,Road,94,PLA Bioplastic,0.88,0.033,575.0
Electronics,0.12,0.0,4,4,0,6,True,Air,2360,Honeycomb Paper,1.25,0.708,602.0
Electronics,0.2,0.0,4,4,1,5,True,Air,2753,Honeycomb Paper,1.08,1.377,602.0
Furniture,44.35,329.95,219,93,81,8,False,Road,2697,Wood Crate,133.58,444.938,405.0
Furniture,76.26,275.54,213,84,77,8,False,Road,839,Wood Crate,111.82,115.589,405.0
Home Decor,1.33,1.22,14,15,29,9,False,Road,441,Mushroom Pkg (Mycelium),2.33,0.293,601.0
Furniture,14.03,4.93,101,61,4,9,False,Road,2460,Mushroom Pkg (Mycelium),7.41,17.257,601.0
Furniture,18.33,5.27,103,64,4,10,False,Road,434,Mushroom Pkg (Mycelium),9.33,3.978,601.0
Clothing,0.87,1.34,31,18,12,3,False,Air,2242,Kraft Paper Mailer,1.14,7.511,550.0
Clothing,0.28,0.19,25,19,2,2,False,Air,1070,Kraft Paper Mailer,0.51,0.749,550.0
Beauty,0.38,0.03,9,4,4,10,True,Air,1100,Mushroom Pkg (Mycelium),2.15,1.045,601.0
Electronics,18.99,7.8,120,65,5,10,True,Road,857,Mushroom Pkg (Mycelium),9.6,8.137,601.0
Beauty,0.43,0.04,9,5,4,8,True,Air,2599,Mushroom Pkg (Mycelium),1.77,2.794,601.0
Furniture,13.04,34.52,62,58,48,6,False,Road,1390,Wood Crate,15.01,23.991,405.0
Electronics,17.48,6.92,131,66,4,10,True,Road,2132,Mushroom Pkg (Mycelium),8.99,18.634,601.0
Electronics,0.14,0.0,4,5,0,4,True,Air,2392,Corrugated Cardboard,0.86,0.837,114.0
Clothing,0.2,0.18,22,20,2,2,False,Air,2921,Kraft Paper Mailer,0.48,1.461,550.0
Home Decor,2.66,1.25,13,16,30,10,False,Air,2304,Mushroom Pkg (Mycelium),3.06,15.322,601.0
Clothing,0.97,1.49,31,20,12,4,False,Air,2411,Kraft Paper Mailer,1.4,8.981,550.0
Electronics,0.3,0.0,16,7,0,9,True,Air,1962,Mushroom Pkg (Mycelium),1.92,1.472,601.0
Furniture,17.22,6.14,104,59,5,9,False,Road,2394,Mushroom Pkg (Mycelium),8.69,20.612,601.0
Electronics,0.38,0.02,15,7,1,7,True,Air,1720,Honeycomb Paper,1.55,1.634,602.0
Electronics,1.76,0.11,30,19,1,8,True,Road,227,Mushroom Pkg (Mycelium),2.3,0.2,601.0
Clothing,0.22,0.16,22,18,2,2,False,Air,1569,Kraft Paper Mailer,0.49,0.863,550.0
Beauty,0.28,0.04,10,5,4,10,True,Air,1462,Mushroom Pkg (Mycelium),2.11,1.023,601.0
Electronics,17.33,6.55,130,63,4,9,True,Road,91,Mushroom Pkg (Mycelium),8.73,0.789,601.0
Beauty,0.89,0.24,21,8,7,5,True,Air,2607,PLA Bioplastic,1.36,5.801,575.0
Home Decor,1.09,1.39,16,14,31,9,False,Air,2186,Mushroom Pkg (Mycelium),2.36,7.596,601.0
Furniture,18.29,4.69,93,63,4,9,False,Road,2838,Mushroom Pkg (Mycelium),9.12,25.954,601.0
Electronics,0.14,0.0,5,4,1,6,True,Air,2132,Honeycomb Paper,1.26,0.746,602.0
Furniture,48.58,233.83,182,88,73,7,False,Road,1196,Wood Crate,94.93,139.83,405.0
Home Decor,2.65,1.48,16,16,29,10,False,Air,2783,Mushroom Pkg (Mycelium),3.06,18.437,601.0
Electronics,18.27,6.1,121,63,4,9,True,Road,1679,Mushroom Pkg (Mycelium),9.11,15.338,601.0
Home Decor,2.15,1.21,16,14,27,10,False,Air,1971,Mushroom Pkg (Mycelium),2.86,10.594,601.0
Home Decor,2.23,1.43,14,16,32,9,False,Air,2228,Mushroom Pkg (Mycelium),2.69,12.421,601.0
Electronics,0.11,0.0,4,5,0,4,True,Road,169,Corrugated Cardboard,0.84,0.009,114.0
Clothing,1.13,3.46,52,37,9,2,True,Air,2138,Kraft Paper Mailer,1.78,18.494,550.0
Home Decor,1.69,1.22,15,15,27,9,False,Air,1638,Mushroom Pkg (Mycelium),2.48,6.921,601.0
Beauty,0.55,0.2,18,8,7,3,True,Air,1103,PLA Bioplastic,0.82,1.517,575.0
Electronics,0.25,0.02,13,7,1,8,True,Air,2233,Mushroom Pkg (Mycelium),1.7,1.396,601.0
Furniture,12.17,34.78,55,62,51,6,False,Road,561,Wood Crate,15.11,9.756,405.0
Beauty,0.22,0.04,9,5,5,9,True,Air,1856,Mushroom Pkg (Mycelium),1.89,1.021,601.0
Furniture,13.53,4.67,108,54,4,9,False,Road,2849,Kraft Paper Mailer,7.21,19.273,550.0
Clothing,0.91,1.19,27,20,11,5,False,Air,2330,Kraft Paper Mailer,1.48,6.932,550.0
Electronics,15.93,8.26,129,64,5,10,True,Road,2982,Mushroom Pkg (Mycelium),8.37,23.752,601.0
Beauty,0.46,0.04,10,4,5,8,True,Road,799,Mushroom Pkg (Mycelium),1.78,0.184,601.0
Furniture,66.22,274.09,184,98,76,6,False,Road,2983,Wood Crate,110.84,408.805,405.0
Furniture,14.14,40.01,57,65,54,6,False,Road,293,Wood Crate,17.2,5.861,405.0
Clothing,0.28,0.1,25,19,1,1,False,Air,1898,Kraft Paper Mailer,0.31,1.329,550.0
Clothing,1.11,1.19,30,18,11,4,False,Air,1720,Kraft Paper Mailer,1.28,5.117,550.0
Electronics,0.15,0.0,4,4,1,4,True,Road,230,Corrugated Cardboard,0.86,0.017,114.0
Electronics,2.47,0.22,27,20,2,8,True,Air,2423,Mushroom Pkg (Mycelium),2.59,14.962,601.0
Electronics,2.11,0.1,27,18,1,9,True,Air,1807,Mushroom Pkg (Mycelium),2.64,9.532,601.0
Beauty,0.93,0.24,19,8,8,5,True,Road,572,PLA Bioplastic,1.37,0.266,575.0
Clothing,0.88,1.11,28,18,11,4,False,Road,568,Kraft Paper Mailer,1.24,0.315,550.0
Furniture,13.5,6.34,104,61,5,10,False,Road,1973,Mushroom Pkg (Mycelium),7.4,13.318,601.0
Beauty,0.68,0.27,21,8,8,4,True,Road,276,PLA Bioplastic,1.07,0.094,575.0
Clothing,1.11,4.56,53,43,10,4,True,Air,1825,Kraft Paper Mailer,2.62,20.805,550.0
Clothing,1.02,4.39,51,43,10,4,True,Road,265,Kraft Paper Mailer,2.56,0.582,550.0
Electronics,0.28,0.02,16,6,1,9,True,Road,622,Mushroom Pkg (Mycelium),1.91,0.087,601.0
Clothing,0.97,1.38,32,18,12,5,False,Air,2525,Kraft Paper Mailer,1.55,8.711,550.0
Clothing,0.88,1.25,30,19,11,4,False,Air,1826,Kraft Paper Mailer,1.3,5.706,550.0
Beauty,0.22,0.03,9,4,4,8,True,Road,420,Mushroom Pkg (Mycelium),1.69,0.046,601.0
Clothing,1.57,3.23,46,39,9,2,True,Air,1141,Kraft Paper Mailer,1.69,9.214,550.0
Electronics,0.31,0.02,14,7,1,7,True,Air,2652,Honeycomb Paper,1.52,2.055,602.0
Home Decor,1.44,1.18,14,15,28,9,False,Road,363,Mushroom Pkg (Mycelium),2.38,0.261,601.0
Clothing,0.83,1.49,31,20,12,5,False,Air,965,Cornstarch Foam,1.6,3.595,368.0
Electronics,15.85,6.19,109,71,4,9,True,Road,1891,Mushroom Pkg (Mycelium),8.14,14.986,601.0
Electronics,0.36,0.02,13,6,1,7,True,Air,2760,Honeycomb Paper,1.54,2.484,602.0
Electronics,0.31,0.0,15,7,0,7,True,Air,2515,Honeycomb Paper,1.52,1.949,602.0
Furniture,18.86,4.65,102,57,4,10,False,Road,2503,Mushroom Pkg (Mycelium),9.54,23.603,601.0
Electronics,1.82,0.26,32,20,2,7,True,Air,904,Honeycomb Paper,2.13,4.113,602.0
Furniture,66.8,248.92,184,89,76,8,False,Road,2811,Wood Crate,101.17,349.857,405.0
Furniture,13.71,4.84,108,56,4,9,False,Road,410,Mushroom Pkg (Mycelium),7.28,2.811,601.0
Clothing,0.28,0.09,26,18,1,2,False,Air,2248,Kraft Paper Mailer,0.51,1.574,550.0
Furniture,14.65,34.77,57,61,50,4,False,Road,1955,Wood Crate,14.71,33.988,405.0
Clothing,0.19,0.09,23,20,1,2,False,Air,2853,Kraft Paper Mailer,0.48,1.355,550.0
Clothing,1.42,3.48,47,37,10,4,True,Air,883,Kraft Paper Mailer,2.19,7.682,550.0
Furniture,16.58,5.67,93,61,5,9,False,Road,112,Mushroom Pkg (Mycelium),8.43,0.928,601.0
Furniture,13.31,33.98,59,64,45,5,False,Road,1103,Wood Crate,14.59,18.74,405.0
Beauty,0.24,0.05,10,5,5,10,True,Air,2760,Mushroom Pkg (Mycelium),2.1,1.656,601.0
Electronics,18.26,7.59,130,73,4,10,True,Road,1786,Mushroom Pkg (Mycelium),9.3,16.306,601.0
Electronics,0.18,0.0,5,4,0,5,True,Air,2845,Honeycomb Paper,1.07,1.28,602.0
Beauty,0.23,0.04,10,5,4,10,True,Air,1699,Mushroom Pkg (Mycelium),2.09,0.977,601.0
Furniture,18.69,5.41,109,62,4,10,False,Road,1188,Mushroom Pkg (Mycelium),9.48,11.102,601.0
Furniture,62.23,281.62,195,87,83,7,False,Road,363,Wood Crate,114.05,51.114,405.0
Clothing,1.19,1.34,32,19,11,4,False,Air,1410,Kraft Paper Mailer,1.34,4.724,550.0
Clothing,1.54,4.13,48,43,10,2,True,Air,1773,Kraft Paper Mailer,2.05,18.306,550.0
Electronics,21.37,5.97,113,66,4,10,True,Road,2118,Mushroom Pkg (Mycelium),10.55,22.631,601.0
Beauty,0.95,0.22,20,8,7,4,True,Air,2054,Cornstarch Foam,1.18,4.878,368.0
Electronics,1.67,0.12,31,20,1,7,True,Air,890,Honeycomb Paper,2.07,3.716,602.0
Electronics,0.27,0.0,16,6,0,7,True,Air,1187,Honeycomb Paper,1.51,0.801,602.0
Furniture,13.39,32.01,54,57,52,6,False,Road,1352,Wood Crate,14.0,21.639,405.0
Electronics,0.23,0.0,14,7,0,6,True,Road,564,Honeycomb Paper,1.29,0.065,602.0
Electronics,1.52,0.23,29,20,2,9,True,Air,1464,Mushroom Pkg (Mycelium),2.41,5.563,601.0
Home Decor,2.96,1.13,14,13,31,9,False,Air,2387,Mushroom Pkg (Mycelium),2.98,17.664,601.0
Electronics,0.28,0.02,15,7,1,9,True,Road,542,Mushroom Pkg (Mycelium),1.91,0.076,601.0
Beauty,0.61,0.21,19,7,8,4,True,Air,2932,PLA Bioplastic,1.04,4.471,575.0
Furniture,17.7,5.92,91,65,5,9,False,Road,1087,Mushroom Pkg (Mycelium),8.88,9.62,601.0
Home Decor,1.71,1.22,14,14,31,10,False,Air,1438,Mushroom Pkg (Mycelium),2.68,6.147,601.0
Electronics,0.22,0.0,14,7,0,9,True,Air,2097,Mushroom Pkg (Mycelium),1.89,1.153,601.0
Furniture,18.65,6.14,96,64,5,10,False,Road,931,Mushroom Pkg (Mycelium),9.46,8.682,601.0
Beauty,0.24,0.04,9,5,5,10,True,Air,2161,Mushroom Pkg (Mycelium),2.1,1.297,601.0
Electronics,2.14,0.1,27,19,1,7,True,Road,571,Honeycomb Paper,2.26,0.611,602.0
Furniture,14.87,44.23,65,63,54,5,False,Road,715,Wood Crate,18.69,15.812,405.0
Home Decor,2.37,1.34,15,14,32,10,False,Air,1605,Mushroom Pkg (Mycelium),2.95,9.51,601.0
Furniture,72.43,293.34,206,89,80,6,False,Road,2151,Wood Crate,118.54,315.487,405.0
Furniture,65.68,217.27,184,82,72,6,False,Road,2513,Wood Crate,88.11,273.0,405.0
Electronics,0.35,0.02,14,7,1,6,True,Air,2018,Honeycomb Paper,1.34,1.766,602.0
Electronics,0.18,0.0,5,4,1,5,True,Air,2411,Honeycomb Paper,1.07,1.085,602.0
Electronics,18.25,8.52,131,65,5,9,True,Road,1333,Mushroom Pkg (Mycelium),9.1,12.164,601.0
Electronics,0.25,0.02,14,6,1,7,True,Air,2627,Honeycomb Paper,1.5,1.642,602.0
Clothing,0.2,0.21,26,20,2,2,False,Road,428,Kraft Paper Mailer,0.48,0.045,550.0
Electronics,19.7,8.61,123,70,5,9,True,Road,1563,Mushroom Pkg (Mycelium),9.68,15.396,601.0
Beauty,0.9,0.24,21,8,7,5,True,Air,2381,PLA Bioplastic,1.36,5.357,575.0
Electronics,24.79,8.04,120,67,5,10,True,Road,2381,Mushroom Pkg (Mycelium),11.92,29.512,601.0
Electronics,0.39,0.0,13,6,0,8,True,Air,1202,Mushroom Pkg (Mycelium),1.76,1.172,601.0
Furniture,19.46,5.72,97,59,5,9,False,Road,2153,Mushroom Pkg (Mycelium),9.58,20.949,601.0
Furniture,18.08,5.06,102,62,4,10,False,Road,2205,Cornstarch Foam,9.23,19.933,368.0
Furniture,18.19,5.04,97,65,4,9,False,Road,537,Mushroom Pkg (Mycelium),9.08,4.884,601.0
Beauty,0.99,0.21,19,8,7,4,True,Air,1419,PLA Bioplastic,1.2,3.512,575.0
Clothing,1.03,1.39,29,20,12,5,False,Road,90,Kraft Paper Mailer,1.56,0.063,550.0
Clothing,1.59,3.86,51,42,9,3,True,Air,1898,Kraft Paper Mailer,2.14,18.316,550.0
Electronics,23.43,6.48,114,71,4,9,True,Road,108,Mushroom Pkg (Mycelium),11.17,1.265,601.0
Clothing,1.87,4.45,53,42,10,3,True,Air,2690,Mushroom Pkg (Mycelium),2.38,29.926,601.0
Beauty,0.63,0.2,18,7,8,4,True,Air,2901,PLA Bioplastic,1.05,4.569,575.0
Electronics,0.21,0.02,13,7,1,7,True,Air,2909,Corrugated Cardboard,1.48,1.527,114.0
Beauty,0.32,0.04,9,5,5,10,True,Air,2279,Mushroom Pkg (Mycelium),2.13,1.823,601.0
Furniture,19.14,4.92,108,57,4,9,False,Road,1161,Mushroom Pkg (Mycelium),9.46,11.111,601.0
Electronics,0.12,0.0,5,4,0,5,True,Road,659,Honeycomb Paper,1.05,0.04,602.0
Home Decor,1.63,1.39,16,15,29,9,False,Air,1647,Mushroom Pkg (Mycelium),2.45,6.712,601.0
Electronics,0.16,0.0,4,4,0,6,True,Air,2277,Honeycomb Paper,1.26,0.911,602.0
Clothing,1.67,3.21,47,38,9,3,True,Air,2377,Kraft Paper Mailer,1.88,19.075,550.0
Clothing,1.29,2.98,46,36,9,4,True,Air,1148,Kraft Paper Mailer,1.99,8.553,550.0
Furniture,71.99,301.74,219,83,83,7,False,Road,1988,Wood Crate,122.1,299.93,405.0
Electronics,2.02,0.11,29,19,1,8,True,Air,2755,Bubble Wrap (LDPE),2.41,13.913,34.0
Furniture,13.54,39.49,62,65,49,4,False,Road,112,Wood Crate,16.6,2.211,405.0
Electronics,0.35,0.02,15,7,1,6,True,Air,2122,Honeycomb Paper,1.34,1.857,602.0
Electronics,0.31,0.02,15,6,1,7,True,Air,1804,Wood Crate,1.52,1.398,405.0
Furniture,47.65,275.62,196,89,79,7,False,Road,1797,Wood Crate,111.65,247.645,405.0
Electronics,1.73,0.12,31,20,1,9,True,Air,2328,Mushroom Pkg (Mycelium),2.49,10.069,601.0
Furniture,71.47,273.6,180,95,80,8,False,Road,1921,Wood Crate,111.04,262.793,405.0
Clothing,1.24,3.43,53,36,9,3,True,Air,1815,Bubble Wrap (LDPE),1.97,15.564,34.0
Furniture,66.48,252.19,184,89,77,8,False,Road,490,Wood Crate,102.48,61.787,405.0
Electronics,22.04,8.54,117,73,5,10,True,Road,2779,Kraft Paper Mailer,10.82,30.625,550.0
Home Decor,2.73,1.3,15,15,29,9,False,Air,2044,Mushroom Pkg (Mycelium),2.89,13.95,601.0
Beauty,0.52,0.26,20,8,8,4,True,Air,1090,PLA Bioplastic,1.01,1.417,575.0
Clothing,0.81,1.61,32,21,12,5,False,Road,273,Kraft Paper Mailer,1.64,0.22,550.0
Home Decor,2.98,1.06,14,14,27,9,False,Air,2717,Mushroom Pkg (Mycelium),2.99,20.242,601.0
Furniture,10.1,34.63,57,62,49,5,False,Road,1887,Wood Crate,14.85,32.673,405.0
Electronics,2.29,0.2,28,18,2,9,True,Air,1163,Mushroom Pkg (Mycelium),2.72,6.658,601.0
Electronics,1.74,0.11,28,19,1,8,True,Air,2368,Mushroom Pkg (Mycelium),2.3,10.301,601.0
Home Decor,1.29,1.09,13,14,30,10,False,Air,2880,Mushroom Pkg (Mycelium),2.52,9.288,601.0
Clothing,0.23,0.1,26,20,1,2,False,Air,2128,Kraft Paper Mailer,0.49,1.224,550.0
Electronics,2.24,0.13,32,21,1,7,True,Road,321,Honeycomb Paper,2.3,0.36,602.0
Electronics,2.07,0.24,30,20,2,8,True,Air,1041,Mushroom Pkg (Mycelium),2.43,5.387,601.0
Electronics,2.17,0.22,31,18,2,7,True,Road,414,Honeycomb Paper,2.27,0.449,602.0
Clothing,1.34,4.35,53,41,10,4,True,Air,1835,Kraft Paper Mailer,2.54,19.956,550.0
Clothing,0.29,0.1,25,20,1,1,False,Air,2198,Kraft Paper Mailer,0.32,1.594,550.0
Clothing,1.22,3.23,46,39,9,4,True,Air,2768,Kraft Paper Mailer,2.09,22.352,550.0
Furniture,10.92,32.5,59,54,51,4,False,Road,228,Wood Crate,13.8,3.705,405.0
Furniture,13.52,34.94,63,59,47,6,False,Road,2143,Wood Crate,15.18,37.438,405.0
Furniture,10.04,34.43,58,56,53,5,False,Road,2802,Wood Crate,14.77,48.236,405.0
Furniture,11.89,33.05,60,54,51,6,False,Road,1964,Wood Crate,14.42,32.455,405.0
Furniture,12.85,35.65,59,57,53,6,False,Road,776,Wood Crate,15.46,13.832,405.0
Electronics,22.97,8.58,130,66,5,9,True,Road,2941,Mushroom Pkg (Mycelium),10.99,33.777,601.0
Clothing,1.77,3.67,51,36,10,2,True,Air,1982,Kraft Paper Mailer,1.87,18.185,550.0
Furniture,65.16,283.92,218,88,74,7,False,Road,1901,Wood Crate,114.97,269.866,405.0
Furniture,59.46,312.06,212,92,80,7,False,Road,915,Wood Crate,126.22,142.767,405.0
Electronics,15.58,7.07,130,68,4,10,True,Road,1817,Mushroom Pkg (Mycelium),8.23,14.154,601.0
Electronics,0.34,0.02,14,6,1,8,True,Air,1748,Mushroom Pkg (Mycelium),1.74,1.486,601.0
Electronics,0.34,0.0,13,7,0,6,True,Air,1236,Honeycomb Paper,1.34,1.051,602.0
Furniture,50.68,292.05,193,97,78,5,False,Road,1139,Wood Crate,117.82,166.322,405.0
Furniture,14.19,29.64,54,56,49,5,False,Road,1049,Wood Crate,12.86,15.546,405.0
Electronics,0.12,0.01,5,5,1,4,True,Road,217,Corrugated Cardboard,0.85,0.013,114.0
Beauty,0.49,0.05,10,5,5,8,True,Air,1265,Mushroom Pkg (Mycelium),1.8,1.55,601.0
Furniture,14.37,30.78,60,57,45,4,False,Road,1188,Wood Crate,13.11,18.283,405.0
Furniture,13.78,6.48,108,60,5,9,False,Road,1119,Mushroom Pkg (Mycelium),7.31,7.71,601.0
Electronics,0.16,0.0,4,4,1,6,True,Air,2917,Honeycomb Paper,1.26,1.167,602.0
Furniture,11.59,31.98,54,63,47,5,False,Road,780,Wood Crate,13.79,12.472,405.0
Electronics,0.31,0.02,15,6,1,9,True,Air,1470,Mushroom Pkg (Mycelium),1.92,1.139,601.0
Electronics,1.7,0.23,32,18,2,9,True,Road,409,Mushroom Pkg (Mycelium),2.48,0.348,601.0
Furniture,58.46,248.0,180,83,83,8,False,Road,2733,Wood Crate,100.8,338.892,405.0
