Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Natural Fiber Composite,78.5,79.36,120.92,181.16,88.09,58.92,84.13,80.55
Gelatin,44.82,111.36,90.4,248.0,55.97,99.5,92.05,67.04
Bagasse Fiber Composite,73.17,108.17,213.72,222.54,83.83,75.33,94.94,55.11
PLA (Polylactic Acid),87.61,50.19,137.38,237.38,86.51,54.73,80.74,75.08
Cellulose Acetate,57.43,78.25,199.11,160.26,83.56,49.0,68.53,39.96
Recycled PET (rPET),22.78,29.2,248.99,155.13,88.63,46.24,61.68,73.89
Hemp Fiber Composite,30.58,117.05,166.31,212.07,60.96,59.31,70.03,93.64
Natural Fiber Composite,24.37,63.1,80.41,204.51,80.39,45.14,78.93,69.91
Maleic Anhydride Grafted (MAG) Polymers,28.63,61.98,218.41,159.17,97.2,41.19,63.19,34.86
Seaweed/Kelp-based Polymer,33.91,52.38,79.31,209.73,81.51,56.76,97.83,44.84
Mycelium-based Material,55.93,69.05,76.19,234.54,81.54,73.28,95.29,57.11
Recycled HDPE,58.83,46.99,32.38,166.87,87.48,41.96,55.71,62.87
Recycled HDPE,44.54,59.99,33.46,206.0,68.33,35.02,79.94,38.12
Coconut Coir Composite,61.26,104.88,217.65,235.02,85.77,34.36,90.35,75.15
Blended Starch,14.0,108.5,69.22,240.15,96.02,50.18,65.44,71.08
Paper-based Composite,14.55,52.53,40.54,238.02,53.02,44.93,78.19,55.22
Bagasse Fiber Composite,21.99,69.93,97.86,234.31,93.83,68.67,72.79,42.6
Polybutylene Succinate (PBS),52.65,112.68,182.68,185.39,62.88,62.99,63.2,65.5
Gelatin,25.72,25.97,94.81,207.86,74.16,54.08,82.35,35.83
Recycled PP,31.86,114.29,87.68,199.11,92.99,88.68,99.71,79.82
Seaweed/Kelp-based Polymer,42.22,43.55,129.7,161.16,91.64,66.34,70.93,58.75
Gelatin,78.65,92.06,19.98,202.69,94.87,38.22,79.5,40.01
Thermoplastic Starch (TPS),8.01,81.92,130.4,203.49,97.17,52.11,69.22,59.07
Polybutylene Fumarate (PBF),64.27,78.8,247.65,235.75,73.74,98.19,94.36,65.99
Polybutylene Succinate (PBS),66.0,111.15,202.85,158.32,83.68,98.43,93.8,44.85
Polybutylene Adipate Terephthalate (PBAT),77.48,31.14,31.57,164.71,71.05,49.32,62.39,83.49
Bagasse Fiber Composite,89.36,57.05,168.88,208.26,69.16,43.37,95.42,85.49
Gelatin,8.56,77.24,123.36,165.81,73.0,65.71,61.14,49.15
Cellulose Acetate,20.39,106.07,209.17,245.79,87.8,64.74,58.57,35.81
Maleic Anhydride Grafted (MAG) Polymers,85.23,43.26,38.15,204.69,76.32,59.89,84.1,29.41
Polybutylene Adipate Terephthalate (PBAT),47.37,105.19,69.69,168.6,91.17,68.0,71.87,31.92
Jute Fiber Composite,56.76,62.61,200.92,155.78,87.9,47.79,78.51,23.43
Maleic Anhydride Grafted (MAG) Polymers,65.48,40.36,214.56,205.66,53.47,39.82,84.09,43.63
Paper-based Composite,66.9,100.55,139.39,232.6,82.44,70.79,56.62,40.09
Recycled PP,89.27,30.01,19.63,205.02,73.24,95.42,67.62,35.84
Blended Starch,95.04,74.76,225.02,243.15,74.19,41.37,75.31,32.62
Polycaprolactone (PCL),70.54,27.15,104.95,246.77,91.37,79.93,66.41,89.4
Natural Fiber Composite,32.21,58.04,24.32,151.31,78.51,61.78,56.44,58.27
Coconut Coir Composite,84.66,83.88,207.42,235.61,94.57,51.99,58.17,22.17
Chitosan,11.14,79.13,113.25,224.48,86.36,90.01,90.92,48.98
Alginate,27.24,63.14,59.65,213.39,78.76,63.04,95.94,89.55
Polybutylene Fumarate (PBF),86.23,65.71,203.37,247.08,88.34,71.67,61.17,73.83
Recycled PET (rPET),29.46,44.35,122.56,159.22,54.32,62.13,65.62,26.56
Jute Fiber Composite,26.31,68.55,157.84,199.41,53.79,37.52,84.07,56.03
Starch-based Polymer,19.01,121.06,208.43,181.54,56.46,72.45,97.91,27.56
Bagasse Fiber Composite,82.84,110.21,137.77,249.52,73.28,60.48,67.92,61.45
Nano-cellulose Composite,51.05,35.75,40.96,179.93,63.68,37.9,93.37,22.66
PHA (Polyhydroxyalkanoates),66.53,23.55,241.48,174.61,99.25,72.52,77.38,77.99
Paper-based Composite,27.94,118.98,82.34,194.64,78.26,32.67,98.01,49.47
Bagasse Fiber Composite,73.89,76.03,248.65,153.76,83.96,46.18,60.44,94.47
Blended Starch,74.06,77.2,16.42,211.55,65.74,85.11,98.79,23.47
Cellulose Acetate,34.45,102.85,128.69,163.96,67.79,34.58,74.4,49.92
Maleic Anhydride Grafted (MAG) Polymers,43.14,53.64,180.66,205.1,68.43,75.97,97.84,61.77
Maleic Anhydride Grafted (MAG) Polymers,25.34,71.29,227.98,238.18,85.69,96.58,75.21,38.37
Cork Composite,93.23,122.69,198.38,180.89,75.0,43.64,78.48,39.87
Paper-based Composite,63.94,91.38,75.07,179.94,77.09,60.36,91.06,44.96
Gelatin,89.52,36.64,72.18,201.36,80.62,71.13,87.3,22.0
Coconut Coir Composite,33.64,34.48,98.8,190.14,89.02,62.63,82.58,94.77
Cork Composite,76.0,41.98,40.98,241.06,56.79,74.19,73.3,32.81
Recycled PET (rPET),74.58,101.37,172.35,240.7,89.4,59.48,90.49,29.68
Paper-based Composite,68.01,51.6,236.2,196.46,79.25,42.1,97.63,77.27
Gelatin,92.27,22.67,165.89,221.48,84.28,38.06,54.65,44.33
Starch-based Polymer,41.62,120.11,140.34,177.19,68.06,82.62,81.12,76.83
Coconut Coir Composite,18.35,38.33,133.29,208.47,71.95,48.23,93.86,65.85
Nano-cellulose Composite,66.25,21.42,154.26,231.8,63.48,89.63,84.11,63.12
Cellulose Acetate,71.35,45.45,181.99,228.12,99.02,82.53,90.88,76.75
PHA (Polyhydroxyalkanoates),57.69,45.23,201.82,165.0,76.11,35.36,95.19,88.85
Blended Starch,25.09,64.97,179.11,220.63,99.81,45.68,88.59,55.74
Seaweed/Kelp-based Polymer,51.44,117.59,180.68,170.97,75.76,51.86,87.04,86.19
Chitosan,34.42,113.24,238.66,201.55,62.94,72.42,98.39,67.26
Natural Fiber Composite,44.62,68.65,226.35,248.36,76.6,87.07,93.76,86.09
Cellulose Acetate,63.9,63.8,208.62,158.47,54.38,36.1,91.54,61.08
Chitosan,72.75,79.01,25.19,154.05,95.48,48.97,58.16,60.92
Polybutylene Succinate (PBS),27.34,46.12,172.18,203.98,91.38,57.58,65.15,72.57
Recycled PP,42.66,25.92,121.92,247.56,86.98,44.47,79.7,72.26
Thermoplastic Starch (TPS),30.61,119.58,160.14,231.05,81.47,69.08,86.7,44.93
Hemp Fiber Composite,24.36,40.12,176.28,174.16,80.04,64.5,68.09,47.89
Thermoplastic Starch (TPS),76.13,41.36,182.94,238.51,99.84,53.52,58.47,87.02
PHA (Polyhydroxyalkanoates),87.28,70.3,219.32,207.91,65.7,67.15,68.45,93.16
Cellulose Acetate,39.56,72.32,228.85,243.99,89.54,56.2,89.51,69.21
Recycled PP,73.29,22.36,157.6,229.13,80.12,55.34,94.38,38.61
Recycled PET (rPET),86.19,36.03,225.13,169.9,98.85,50.05,96.01,21.94
Recycled PP,81.69,60.34,194.69,196.95,91.82,68.75,71.55,42.12
Gelatin,22.96,92.61,62.64,221.76,99.93,62.2,71.26,50.8
Recycled HDPE,91.44,44.53,23.3,216.43,80.45,45.35,72.83,89.37
Hemp Fiber Composite,40.13,65.08,17.32,193.19,62.22,32.88,71.41,73.4
Polybutylene Succinate (PBS),36.81,79.26,152.86,238.3,76.43,42.26,84.71,74.32
Recycled LDPE,12.31,114.24,137.57,164.74,86.28,34.91,70.61,64.14
Natural Fiber Composite,49.82,54.84,178.65,215.16,89.28,61.35,55.13,40.25
Paper-based Composite,16.43,34.51,213.06,201.26,52.52,47.31,74.31,57.65
Poly(3-hydroxybutyrate) (PHB),28.78,72.07,53.64,171.06,76.49,60.59,64.47,84.56
Blended Starch,34.84,99.26,216.26,165.03,63.67,54.4,55.52,92.88
Polybutylene Succinate (PBS),78.39,32.01,38.05,220.48,94.06,68.59,75.76,69.73
Nano-cellulose Composite,84.29,65.25,222.56,158.55,59.76,81.22,63.63,31.58
Polybutylene Adipate Terephthalate (PBAT),33.56,22.29,214.86,174.89,84.16,64.59,74.94,51.06
Recycled HDPE,82.8,23.95,178.78,164.61,65.14,36.21,66.92,20.91
Recycled PET (rPET),82.67,71.41,85.51,155.63,69.44,33.19,81.85,94.55
Bagasse Fiber Composite,74.47,51.9,36.95,219.79,97.18,46.5,99.58,86.12
Mycelium-based Material,19.77,109.64,197.85,170.43,63.92,60.9,79.26,82.43
Cork Composite,67.89,83.99,66.2,172.8,57.01,35.05,83.83,51.6
Mycelium-based Material,90.44,68.34,118.62,176.47,55.79,54.29,96.3,59.05
Recycled PET (rPET),67.21,63.48,139.75,161.42,76.47,92.32,71.33,77.49
Thermoplastic Starch (TPS),36.14,72.91,176.08,189.08,82.98,38.12,61.83,20.44
Mycelium-based Material,51.1,24.68,129.55,180.01,68.05,96.5,67.15,71.12
Poly(3-hydroxybutyrate) (PHB),63.95,114.68,178.22,157.47,85.29,90.25,72.65,58.58
PHA (Polyhydroxyalkanoates),51.98,125.82,206.3,237.04,55.4,88.56,83.74,87.43
Polybutylene Fumarate (PBF),17.4,39.57,182.57,245.5,93.22,90.73,54.41,74.14
Polyhydroxyvalerate (PHV),34.41,33.12,85.38,180.99,91.29,37.44,93.28,20.58
Cellulose Acetate,77.82,35.57,225.16,232.48,99.31,42.28,57.69,21.77
Recycled PP,83.04,90.21,144.38,218.07,96.98,41.14,95.45,68.56
PLA (Polylactic Acid),18.94,90.25,124.36,200.08,69.42,39.56,97.68,52.17
Recycled LDPE,91.09,109.94,150.14,167.63,71.47,54.28,99.55,50.63
Cork Composite,35.89,99.8,128.56,167.08,87.93,88.45,91.28,90.66
PHA (Polyhydroxyalkanoates),65.41,67.89,192.45,215.46,58.87,49.13,60.7,54.25
Blended Starch,73.34,85.12,113.86,215.97,67.42,48.61,86.54,23.33
Recycled PP,78.66,93.09,197.53,164.87,58.13,77.96,63.51,74.46
Natural Fiber Composite,90.51,74.55,193.64,221.84,74.11,38.59,95.29,25.94
Polybutylene Fumarate (PBF),34.48,70.63,80.06,193.93,78.72,56.5,68.7,65.89
Polybutylene Fumarate (PBF),82.78,88.53,37.55,220.49,62.53,52.09,69.17,45.48
Mycelium-based Material,18.44,79.27,214.98,205.48,53.77,89.62,96.23,87.29
Maleic Anhydride Grafted (MAG) Polymers,69.2,88.4,54.7,153.55,86.67,66.99,54.81,76.3
Maleic Anhydride Grafted (MAG) Polymers,72.47,85.12,22.33,185.56,53.45,75.96,63.08,89.75
PHA (Polyhydroxyalkanoates),66.78,96.35,109.55,152.89,98.74,40.77,73.52,41.32
PHA (Polyhydroxyalkanoates),29.12,88.28,74.73,223.17,63.03,95.17,86.29,92.74
Hemp Fiber Composite,84.07,75.29,66.78,168.57,84.04,53.93,83.86,56.62
Polyhydroxyvalerate (PHV),21.73,92.4,55.49,244.19,73.15,80.07,84.86,60.25
Polybutylene Adipate Terephthalate (PBAT),11.53,67.87,191.06,249.4,55.33,96.91,94.51,33.39
Thermoplastic Starch (TPS),70.3,45.93,199.1,238.18,74.93,66.59,59.74,28.16
Polybutylene Fumarate (PBF),48.87,20.56,25.9,181.84,77.05,66.51,78.12,47.78
Recycled LDPE,81.95,79.54,143.5,158.9,93.1,39.97,87.43,65.77
Coconut Coir Composite,40.72,82.78,46.76,222.71,87.29,58.54,83.33,74.14
Cellulose Acetate,21.68,123.05,132.4,160.84,56.27,89.97,74.73,69.64
Mycelium-based Material,80.83,58.58,96.76,167.17,62.44,41.19,54.98,30.56
Jute Fiber Composite,55.37,62.03,62.43,157.96,67.31,94.39,56.97,22.19
Blended Starch,23.53,41.72,237.79,185.57,58.03,77.38,59.65,72.14
Natural Fiber Composite,70.56,27.86,239.84,170.82,74.2,60.63,69.92,37.56
Maleic Anhydride Grafted (MAG) Polymers,52.03,102.01,147.53,212.02,99.25,69.16,59.59,31.82
Chitosan,60.28,46.77,59.19,186.94,76.94,42.23,73.71,94.34
Polyhydroxyvalerate (PHV),47.58,84.7,152.07,189.32,87.74,46.79,62.38,79.61
Recycled HDPE,80.15,93.03,233.2,202.96,84.94,51.48,89.89,27.06
Jute Fiber Composite,80.22,70.17,103.77,181.84,92.87,58.17,94.11,37.38
Thermoplastic Starch (TPS),69.58,112.94,47.37,182.82,62.75,94.26,72.05,79.77
Polybutylene Fumarate (PBF),16.11,67.27,178.02,184.73,88.31,56.99,77.62,29.61
Polylactic Acid (PLA) Blends,81.04,50.49,169.22,222.07,94.36,67.62,97.87,80.97
Natural Fiber Composite,66.18,115.02,15.33,188.85,60.65,43.02,78.73,27.32
Poly(3-hydroxybutyrate) (PHB),68.49,111.38,215.6,160.2,68.97,82.05,99.77,27.03
Recycled HDPE,38.91,37.73,170.28,218.2,98.58,70.1,60.71,53.54
Poly(3-hydroxybutyrate) (PHB),84.62,23.15,60.99,244.31,89.59,61.91,93.69,54.47
Polybutylene Adipate Terephthalate (PBAT),71.0,29.91,15.76,156.83,65.92,96.41,76.97,84.42
Recycled LDPE,16.75,50.67,243.49,239.68,79.29,92.56,55.24,38.6
Nano-cellulose Composite,42.88,123.07,192.35,185.53,71.71,76.85,98.73,61.08
Polybutylene Adipate Terephthalate (PBAT),85.25,79.38,100.79,205.05,75.77,94.68,98.4,21.59
Cellulose Acetate,10.96,59.82,116.71,165.3,69.37,70.41,71.75,20.98
Jute Fiber Composite,91.89,114.25,141.63,178.35,65.77,88.23,97.9,76.3
Hemp Fiber Composite,66.91,68.26,183.88,174.83,84.55,59.84,60.66,66.55
Recycled LDPE,62.68,53.7,55.64,154.86,89.48,37.9,85.35,52.37
PLA (Polylactic Acid),30.73,119.79,61.0,212.6,94.01,99.6,62.99,58.52
Paper-based Composite,28.81,110.11,26.34,228.4,59.88,43.26,65.5,56.16
Maleic Anhydride Grafted (MAG) Polymers,90.18,109.49,246.66,153.77,91.59,49.1,89.89,75.58
Cellulose Acetate,33.19,74.5,220.76,155.5,64.6,43.09,71.48,39.53
Maleic Anhydride Grafted (MAG) Polymers,75.44,103.77,144.95,173.97,72.8,54.95,54.53,73.53
Polycaprolactone (PCL),41.58,39.35,116.11,166.99,95.32,51.67,73.17,71.49
Bagasse Fiber Composite,19.11,80.94,70.8,175.93,74.09,72.87,64.65,47.15
Recycled PP,7.73,124.29,154.82,184.92,61.86,99.76,85.5,84.38
Hemp Fiber Composite,54.96,51.13,177.27,247.38,60.09,35.57,63.11,79.53
Gelatin,93.17,104.29,176.96,183.19,74.97,84.93,92.78,37.98
Recycled PP,39.46,72.2,16.51,174.21,88.73,40.7,66.43,52.42
Polybutylene Adipate Terephthalate (PBAT),38.4,24.61,179.98,154.03,99.87,33.35,72.2,59.57
Poly(3-hydroxybutyrate) (PHB),37.24,100.98,218.6,209.65,89.9,75.42,67.85,62.8
Maleic Anhydride Grafted (MAG) Polymers,52.86,38.21,42.01,240.11,94.16,91.39,83.69,69.9
Paper-based Composite,45.79,87.09,192.51,205.56,88.02,43.99,58.83,71.32
Cork Composite,84.68,29.46,208.46,233.42,95.03,55.23,76.1,74.06
Alginate,51.53,120.39,79.9,158.52,56.12,43.48,69.52,30.26
PHA (Polyhydroxyalkanoates),51.73,51.21,182.34,159.74,96.67,93.64,94.69,39.65
Coconut Coir Composite,19.03,44.32,37.74,212.85,71.33,50.38,57.56,21.78
PLA (Polylactic Acid),93.78,34.05,167.56,159.64,96.28,62.24,92.2,31.42
Polyhydroxyvalerate (PHV),28.91,120.3,134.93,198.68,56.1,92.84,61.88,87.4
Cork Composite,13.27,95.58,214.72,167.8,86.47,69.6,58.26,30.42
Cork Composite,65.49,98.72,121.21,162.79,87.45,95.43,63.47,79.73
PLA (Polylactic Acid),59.49,73.14,115.6,202.64,99.85,95.0,58.9,76.54
Polyhydroxyvalerate (PHV),43.53,70.54,234.44,163.54,89.02,63.39,78.06,88.97
Nano-cellulose Composite,44.16,32.03,234.55,174.5,70.67,71.6,99.46,32.82
Jute Fiber Composite,76.28,79.52,23.39,171.19,78.97,47.66,55.77,89.87
Recycled HDPE,24.11,46.48,129.11,247.34,69.91,99.36,75.32,42.51
Starch-based Polymer,79.4,123.59,52.83,150.89,61.81,50.93,71.88,60.81
Polybutylene Fumarate (PBF),64.21,104.52,79.32,157.61,64.3,85.26,69.75,22.69
Jute Fiber Composite,43.87,64.02,171.54,236.29,63.05,53.28,69.4,39.96
Recycled PET (rPET),47.33,36.39,45.38,201.83,78.57,53.29,95.19,32.92
Polylactic Acid (PLA) Blends,29.5,103.33,17.65,169.84,95.54,39.06,55.07,94.58
Natural Fiber Composite,73.36,33.3,185.87,175.51,95.85,70.07,89.69,20.79
Hemp Fiber Composite,52.18,40.4,165.72,236.29,55.1,48.65,65.78,46.46
Recycled PP,35.19,42.74,227.13,242.36,56.3,42.09,71.75,43.5
PHA (Polyhydroxyalkanoates),59.55,79.21,142.44,174.99,64.14,47.41,73.44,80.78
Natural Fiber Composite,94.93,103.52,237.15,171.32,64.62,49.07,68.16,78.56
Maleic Anhydride Grafted (MAG) Polymers,45.31,53.6,158.19,186.57,57.01,66.28,58.48,81.96
PLA (Polylactic Acid),88.29,29.35,105.98,238.64,70.95,58.24,59.44,93.29
Coconut Coir Composite,37.32,69.46,157.99,151.01,80.42,37.13,67.85,45.44
Cellulose Acetate,11.63,99.4,191.06,190.95,79.96,68.45,91.84,31.73
Recycled HDPE,24.86,43.82,96.67,182.1,78.31,85.57,60.37,91.28
Seaweed/Kelp-based Polymer,43.85,43.63,102.54,210.04,68.59,71.05,88.21,90.02
Cork Composite,26.22,120.43,163.04,196.91,86.06,98.27,67.43,67.35
Polybutylene Adipate Terephthalate (PBAT),6.8,121.16,122.06,166.25,91.76,38.74,94.66,94.67
Cork Composite,87.79,124.99,138.84,228.71,68.95,87.84,73.82,94.44
Polycaprolactone (PCL),81.49,105.69,245.79,213.43,56.56,66.39,62.06,62.32
Hemp Fiber Composite,72.5,40.28,25.29,166.19,66.58,67.47,99.35,26.46
Seaweed/Kelp-based Polymer,21.64,42.79,167.26,170.39,59.03,67.3,62.29,21.25
Hemp Fiber Composite,17.44,56.33,231.88,231.35,74.7,54.12,80.2,39.1
Gelatin,12.77,54.0,70.51,162.55,59.91,54.07,80.27,58.64
Cork Composite,70.88,121.41,64.83,220.77,74.49,74.97,71.27,74.5
Recycled PP,89.01,103.73,100.3,167.3,63.0,35.04,97.78,45.41
Hemp Fiber Composite,44.9,96.86,32.41,207.48,87.59,72.04,92.85,44.43
Nano-cellulose Composite,17.33,40.05,146.67,197.03,53.81,81.27,92.21,48.45
Cellulose Acetate,52.14,116.45,166.68,227.57,78.85,56.23,98.82,47.08
Recycled PP,37.66,107.82,207.67,188.42,60.55,46.78,75.14,70.11
Polycaprolactone (PCL),39.96,37.69,30.55,241.04,52.55,46.51,58.65,31.89
Chitosan,61.79,112.4,117.5,228.43,93.79,37.57,89.26,45.27
Maleic Anhydride Grafted (MAG) Polymers,70.41,49.16,199.29,227.88,84.4,38.1,71.64,65.83
Thermoplastic Starch (TPS),16.57,28.95,195.55,177.86,57.2,43.33,62.92,73.71
Seaweed/Kelp-based Polymer,9.93,89.76,32.31,196.36,84.04,33.3,76.33,23.8
Polyhydroxyvalerate (PHV),94.81,89.45,17.68,170.48,81.55,50.1,96.6,80.54
Thermoplastic Starch (TPS),27.38,30.43,199.08,231.83,74.98,52.84,62.05,58.49
Jute Fiber Composite,11.55,54.08,47.42,214.23,72.41,99.68,93.07,94.92
Cellulose Acetate,23.59,125.24,150.78,150.67,94.64,99.43,73.35,78.37
Natural Fiber Composite,10.23,92.05,37.15,207.28,64.14,44.72,60.47,25.4
Mycelium-based Material,41.47,97.5,84.45,154.68,71.42,46.49,93.06,70.5
Recycled LDPE,77.82,42.89,52.14,186.93,68.13,65.45,98.61,71.56
Coconut Coir Composite,36.99,28.73,188.05,239.5,89.13,42.12,67.54,29.91
Chitosan,46.1,49.65,173.09,160.16,96.03,66.27,68.1,55.63
Blended Starch,66.59,46.69,46.8,159.19,92.86,59.16,72.09,88.18
PLA (Polylactic Acid),51.83,45.18,28.94,232.15,90.39,54.07,91.49,57.73
PHA (Polyhydroxyalkanoates),83.04,40.76,124.59,176.93,99.37,87.94,54.68,38.27
Seaweed/Kelp-based Polymer,83.45,81.1,60.95,153.57,85.61,88.31,64.46,87.05
Bagasse Fiber Composite,7.66,55.05,16.91,211.89,88.18,99.18,86.53,65.12
Jute Fiber Composite,75.66,107.03,77.1,176.37,99.18,47.17,72.78,51.66
Recycled PET (rPET),47.57,39.83,65.58,191.43,52.83,92.4,69.33,60.11
Starch-based Polymer,94.32,69.47,175.97,168.67,82.62,68.57,94.15,89.33
Polylactic Acid (PLA) Blends,49.56,21.85,217.3,235.52,87.6,72.22,96.21,35.79
Recycled HDPE,94.15,71.27,70.85,210.33,96.1,92.95,97.62,73.29
Starch-based Polymer,73.58,26.31,67.42,220.23,94.48,96.1,66.68,58.86
Recycled LDPE,28.79,123.65,106.13,192.85,92.49,81.42,95.99,80.54
Polybutylene Adipate Terephthalate (PBAT),54.44,103.89,55.55,171.04,97.43,55.65,87.95,92.74
Chitosan,94.61,72.16,237.5,213.28,78.03,65.3,61.26,32.91
Recycled HDPE,82.7,29.55,72.23,163.1,52.83,73.82,82.15,70.55
Poly(3-hydroxybutyrate) (PHB),15.4,82.97,36.93,193.69,53.03,88.35,55.41,83.02
Polycaprolactone (PCL),69.32,100.53,145.87,186.22,78.37,76.74,86.64,22.46
Polycaprolactone (PCL),37.37,40.55,141.34,183.28,73.18,56.85,87.8,23.51
Starch-based Polymer,7.4,80.41,163.5,223.18,73.93,60.42,90.35,32.15
Cellulose Acetate,42.5,106.38,242.18,176.47,71.52,35.43,62.1,90.25
Nano-cellulose Composite,27.56,101.53,91.02,245.41,96.09,94.85,82.97,60.77
Recycled LDPE,79.27,105.2,99.5,177.95,69.56,37.99,62.39,88.94
Polycaprolactone (PCL),36.64,113.26,94.2,200.5,93.17,71.44,97.56,22.29
Jute Fiber Composite,80.04,119.42,162.73,207.08,95.39,91.27,85.12,63.08
Nano-cellulose Composite,6.83,63.23,156.96,196.45,76.23,60.62,58.57,61.03
Recycled PP,34.03,80.47,139.27,161.83,73.73,86.41,62.77,33.41
Starch-based Polymer,28.13,103.9,100.62,218.26,88.65,86.66,84.59,55.06
Alginate,27.46,94.02,115.5,159.07,86.13,36.07,76.03,76.27
Mycelium-based Material,12.82,125.53,201.24,172.65,68.11,60.03,87.92,37.5
Recycled LDPE,23.35,21.85,158.17,160.54,57.37,78.99,67.06,66.28
Chitosan,55.96,57.91,183.33,228.16,65.08,60.72,84.33,25.94
Coconut Coir Composite,32.57,50.08,80.03,223.22,58.72,69.07,62.3,67.76
Recycled HDPE,43.73,48.11,229.2,241.03,66.5,72.42,79.1,41.5
Polybutylene Adipate Terephthalate (PBAT),40.14,43.91,23.26,202.0,64.94,42.28,98.07,76.0
Recycled HDPE,84.32,95.29,154.99,200.02,82.79,60.01,82.97,45.67
Polybutylene Succinate (PBS),86.93,29.36,205.9,236.68,97.84,33.94,56.49,89.65
Polybutylene Adipate Terephthalate (PBAT),50.42,98.72,218.58,179.93,85.07,42.17,99.49,57.81
Polyhydroxyvalerate (PHV),36.01,93.63,90.09,184.05,96.52,66.83,61.38,49.13
Polyhydroxyvalerate (PHV),16.24,46.89,123.04,230.81,89.75,71.0,87.09,72.49
Recycled PP,91.18,47.11,23.2,215.01,87.07,41.94,78.59,25.39
Cork Composite,12.11,86.81,200.59,242.63,72.17,83.38,67.68,77.57
Polycaprolactone (PCL),33.13,100.89,44.27,198.35,67.93,57.36,62.32,94.59
Polybutylene Adipate Terephthalate (PBAT),33.17,112.96,115.6,231.64,92.7,94.6,62.34,55.54
Alginate,35.15,110.39,247.84,225.34,95.51,58.36,93.51,26.93
Bagasse Fiber Composite,21.32,122.29,230.67,184.13,73.96,42.19,94.18,81.38
Jute Fiber Composite,76.11,81.8,92.56,174.04,52.93,83.54,75.5,43.7
Seaweed/Kelp-based Polymer,17.62,116.35,67.61,150.78,90.15,70.61,58.95,46.88
Paper-based Composite,62.99,105.78,74.15,172.94,66.04,58.29,94.69,63.14
Alginate,17.74,114.88,175.92,156.23,52.97,56.21,76.51,93.69
Recycled PP,13.02,21.64,185.56,224.55,90.74,42.25,74.3,52.6
Coconut Coir Composite,87.29,122.4,65.88,196.87,77.08,55.18,72.86,55.28
Polylactic Acid (PLA) Blends,23.61,70.41,71.4,177.96,85.05,34.0,70.92,28.61
Natural Fiber Composite,79.49,104.69,91.0,170.51,95.95,66.16,78.29,61.54
Bagasse Fiber Composite,55.0,33.84,116.8,199.72,78.21,92.98,81.89,74.17
Coconut Coir Composite,13.67,62.22,230.61,152.47,76.4,86.08,75.56,65.11
Starch-based Polymer,91.37,49.07,21.23,176.64,66.31,33.94,95.27,34.75
Recycled PP,28.64,51.21,164.98,240.44,67.0,91.93,68.75,65.02
PLA (Polylactic Acid),82.88,33.42,217.5,174.28,90.34,62.76,80.69,27.2
Cork Composite,21.72,105.49,184.99,157.22,73.83,44.98,67.94,23.4
Starch-based Polymer,82.38,21.39,65.93,156.47,60.27,83.16,88.7,32.01
Hemp Fiber Composite,7.95,53.41,127.04,199.09,56.99,53.96,58.88,78.16
Mycelium-based Material,52.09,38.83,228.92,244.16,74.96,49.23,62.84,89.78
PLA (Polylactic Acid),74.9,82.61,42.19,239.44,74.59,42.97,90.9,31.32
Chitosan,89.54,47.26,247.07,203.51,83.54,65.09,62.59,72.42
Hemp Fiber Composite,87.27,47.76,48.75,172.82,74.88,38.35,82.86,75.7
Mycelium-based Material,79.34,71.97,48.47,211.48,59.32,85.42,98.64,76.95
Cellulose Acetate,85.41,89.33,206.02,242.36,76.62,64.01,78.15,60.28
Polylactic Acid (PLA) Blends,24.42,33.22,209.66,235.98,95.57,62.39,62.78,81.14
Polycaprolactone (PCL),31.94,38.94,23.91,247.8,60.07,32.13,68.89,71.25
Polycaprolactone (PCL),32.36,46.51,54.55,171.5,85.26,87.61,91.91,65.74
Coconut Coir Composite,40.16,123.23,237.9,190.6,80.71,65.51,70.31,55.67
PHA (Polyhydroxyalkanoates),41.6,62.35,80.65,176.19,88.06,61.91,87.34,25.53
Recycled HDPE,54.99,83.66,17.88,236.14,59.65,83.77,89.8,61.19
Polybutylene Adipate Terephthalate (PBAT),20.93,45.91,74.7,183.91,97.23,36.28,77.15,62.3
Hemp Fiber Composite,67.98,72.2,187.83,204.51,82.0,56.93,90.07,40.4
Bagasse Fiber Composite,21.61,28.24,230.37,228.64,92.74,71.15,68.71,91.26
Polybutylene Succinate (PBS),34.25,24.08,51.46,175.98,64.21,63.32,77.84,77.21
Thermoplastic Starch (TPS),51.34,69.9,67.74,233.78,87.62,44.35,85.64,32.96
Alginate,77.29,62.5,118.76,190.3,89.6,52.35,61.9,91.61
Alginate,72.25,34.86,190.85,165.21,71.38,52.41,66.73,90.36
Mycelium-based Material,63.93,93.01,169.79,209.31,70.74,99.45,84.06,44.76
Recycled LDPE,20.57,125.25,91.97,161.62,83.75,54.18,84.22,82.41
Polylactic Acid (PLA) Blends,55.21,62.19,30.59,185.58,56.94,45.95,76.79,26.04
Nano-cellulose Composite,14.52,86.36,74.45,213.55,87.44,87.94,90.64,60.15
Recycled PET (rPET),40.19,122.09,66.6,225.12,54.54,60.64,76.28,41.59
Recycled HDPE,43.39,108.21,19.95,156.0,61.55,62.18,94.56,26.28
